Album,Artist,Genre,Release Date,Listened On,Favorite Songs,Rating,Hidden Ranking
The New Abnormal,The Strokes,Indie Rock,4/10/2020,N/A,"The Adults Are Talking, Selfless, Ode To The Mets",10,999
Circles,Mac Miller,Alternative R&B,1/17/2020,N/A,"Good News, Everybody, Hand Me Downs",10,999
SOUL LADY,YUKIKA,City Pop / K-Pop,7/21/2020,N/A,"SOUL LADY, Cherries Jubiles, NEON 1989",9.5,999
Punisher,Phoebe Bridgers,Indie Folk / Singer-Songwriter,6/18/2020,N/A,"Kyoto, Chinese Satellite, Garden Song",9,999
Give Me A Minute,Lizzy McAlpine,Singer-Songwriter,8/13/2020,N/A,"Give Me A Minute, To the Mountains, Nothing / Sad N Stuff",8.5,999
A Call from My Dream,Meaningful Stone,Dream Pop,9/27/2020,N/A,"Beep-Boop Beep-Boop, A Call from My Dream, Treasure hunt",8.5,999
folklore,Taylor Swift,Singer-Songwriter / Folk Pop,7/24/2020,N/A,"exile, august, the 1",8,999
Only For Dolphins,Action Bronson,Jazz Rap,9/25/2020,N/A,"C12H16N2, Capoeira, Latin Grammys",8,999
Aquarium,Bronze,City Pop / K-Pop,10/9/2020,N/A,"Orange Road, Melody, Submarine",7.5,999
evermore,Taylor Swift,Singer-Songwriter / Folk Pop,12/11/2020,N/A,"champagne problems, willow, evermore",7.5,999
C'est la Vie,Mustard Service,Indie Pop / Bedroom Pop,3/23/2020,N/A,"Pleasantries (With Your Lover), Need, Daddy Dookie Brown",7.5,999
"The Joy of Music, The Job of Real Estate",Vulfpeck,Funk,10/23/2020,N/A,"LAX, 3 on E, Test Drive (Instrumental)",7,999
Third Semester,Shalfi,Math Rock / Lofi,6/24/2020,N/A,"Opening Theme, Hero's Theme, Ending Theme",7,999
