Album,Artist,Genre,Release Date,Listened On,Favorite Songs,Rating,Hidden Ranking
Titanic Rising,Weyes Blood,Art Pop,4/5/2019,N/A,"Andromeda, A Lot's Gonna Change, Picture Me Better",10,22
IGOR,"Tyler, The Creator",Alternative R&B / Neo-Soul,5/17/2019,N/A,"NEW MAGIC WAND, GONE GONE / THANK YOU, EARFQUAKE",9.5,21
the first glass beach album,glass beach,Emo Pop / Indie Rock,5/18/2019,N/A,"cold weather, bedroom community, classic j dies and goes to hell part 1",9,20
Bismillah,Peter Cat Recording Co.,Jazz Pop,6/7/2019,N/A,"Soulless Friends, Memory Box, Floated By",9,19
Somewhere City,Origami Angel,Midwest Emo,11/15/2019,N/A,"The Title Track, 24 Hr Drive-Thru, Skeleton Key",9,18
KIWANUKA,Michael Kiwanuka,Psychedelic Soul,11/1/2019,N/A,"You Ain't The Problem, Light, Hero",9,17
Twenty Twenty,Djo,Psychedelic Pop,9/13/2019,N/A,"Roddy, Personal Lies, Chateau (Feel Alright)",9,16
Her and All of My Friends,Ritt Momney,Singer-Songwriter / Indie Pop,7/19/2019,N/A,"Paper News, Wormwood, Lew's Lullaby",8.5,15
My Finest Work Yet,Andrew Bird,Chamber Pop,3/22/2019,N/A,"Sisyphus, Manifest, Archipelago",8.5,14
Morbid Stuff,PUP,Pop Punk / Emo,4/5/2019,N/A,"Morbid Stuff, Kids, See You At Your Funeral",8.5,13
New Moon,"Rav, Kill Bill:The Rapper",Abstract Hip Hop / Cloud Rap,1/20/2019,N/A,"Cult, Dirge, Fair One",8,12
Every letter I sent you.,Yerin Baek,Contemporary R&B / Singer-Songwriter,12/10/2019,N/A,"Square (2017), Rest, Popo (How deep is our love?)",8,11
Father of the Bride,Vampire Weekend,Indie Pop,5/3/2019,N/A,"This Life, Flower Moon, Sunflower",8,10
Miami Memory,Alex Cameron,Pop Rock,9/13/2019,N/A,"Far From Born Again, Bad For The Boys, Divorce",8,9
When We Were Friends,The Backseat Lovers,Indie Rock,1/27/2019,N/A,"Pool House, Kilby Girl, Dugout",7.5,8
Lamb Over Rice,"Action Bronson, The Alchemist",East Coast Hip Hop,11/22/2019,N/A,"Dmitri, Descendant of the Stars, Arnold & Danny",7.5,7
"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,Alternative Pop,3/29/2019,N/A,"all the good girls go to hell, when the party's over, xanny",7.5,6
Don't Get Dark,Del Water Gap,Alternative Pop,4/12/2019,N/A,"Don't Say Nothing, Laid Down My Arms, To Philly",7,5
Pony,Rex Orange County,Indie Pop,10/25/2019,N/A,"Pluto Projector, Face to Face, Always",7,4
Fine Line,Harry Styles,Pop,12/13/2019,N/A,"Golden, Canyon Moon, Adore You",7,3
1000 gecs,100 gecs,Hyperpop,5/31/2019,N/A,"money machine, hand crushed by a mallet, ringtone",7,2
Living Mirage,The Head and The Heart,Folk Pop,5/17/2019,N/A,"Missed Connection, People Need A Melody, Living Mirage",7,1
