Album,Artist,Genre,Release Date,Listened On,Favorite Songs,Rating,Hidden Ranking
"Magic, Alive!",McKinley Dixon,Jazz Rap,1/1/2025,,"Magic, Alive!, Run, Run, Run Pt. II, Sugar Water (feat. Quelle Chris and Anjimile)",9.5,999
Only Dust Remains,Backxwash,Experimental Hip Hop,1/1/2025,,"History Of Violence, Wake Up, 9th Heaven",9.5,999
"Sincerely,",Kali Uchis,Soul / Alternative R&B,1/1/2025,,"Heaven is a Home…, Lose My Cool,, Angels All Around Me…",8.5,999
Getting Killed,Geese,Indie Rock / Art Rock,1/1/2025,,"Cobra, Taxes, Long Island City Here I Come",8.5,999
The Crux,Djo,Indie Pop / Pop Rock,1/1/2025,,"Potion, Lonesome Is A State of Mind, Charlie's Garden",8.5,999
Equus Asinus,Men I Trust,Bedroom Pop,1/1/2025,,"All My Candles, The Landkeeper, I Come With Mud",8.5,999
勇気,betcover!!,Jazz Rock / Art Rock,1/1/2025,,"ゴーゴースチーム, ミー子のコンサート, 野猿",8.5,999
choke enough,Oklou,Alt-Pop / Electronic,1/1/2025,,"blade bird, plague dogs, harvest sky",8,999
Son Of Spergy,Daniel Caesar,Singer-Songwriter / R&B,1/1/2025,,"Sins Of The Father (Feat. Bon Iver), Sign Of The Times, Have A Baby (With Me)",8,999
NEVER ENOUGH,Turnstile,Hardcore Punk / Dream Pop,1/1/2025,,"I CARE, NEVER ENOUGH, SUNSHOWER",8,999
Fancy That,PinkPantheress,Dance Pop / Drum and Bass,1/1/2025,,"Stateside, Nice to Know You, Romeo",8,999
Ace,Madison Cunningham,Singer-Songwriter / Chamber Folk,1/1/2025,,"Beyond That Moon, Shore, Skeletree",8.5,999
Vendrán Suaves Lluvias,Silvana Estrada,Chamber Folk / Singer-Songwriter,1/1/2025,,"Como Un Pájaro, Flores, Dime",8.5,999
I Love My Computer,Ninajirachi,Electro House,1/1/2025,,"iPod Touch, All I Am, Infohazard",8.5,999
"Patience, Moonbeam",Great Grandpa,Indie Rock / Dream Pop,1/1/2025,,"Never Rest, Doom, Kid",8,999
newLove,juno,Emo Rap / Bedroom Pop,1/1/2025,,"play with fire, temporary crush, more up than eva",8,999
God's Gonna Give You a Million Dollars,Shallowater,Slowcore / Alt-Country,1/1/2025,,"Ativan, God's Gonna Give You a Million Dollars, Sadie",8,999
LOOP:GLAMOUR,loopcinema,Synthpop / Glitch Pop,1/1/2025,,"MERCÚRIO, LOUCAS-NO-BEAT, DISCO: Lada",8.5,999
Lotus,Little Simz,Conscious Hip Hop,1/1/2025,,"Lotus, Free, Only",8,999
sankofa,redveil,Jazz Rap / Conscious Hip Hop,1/1/2025,,"time (a dream deferred), brown sugar, mini me",8.5,999
Pilgrim,Jesse Welles,Americana / Singer-Songwriter,1/1/2025,,"Will The Computer Love The Sunset, We’re All Gonna Die, Philanthropist (feat. Billy Strings)",8,999
Egotrip,"John michel, Anthony James",Chipmunk Soul / Conscious Hip Hop,1/1/2025,,"Don't Save Me, world's end, NOBODY",8,999
Prema,Fujii Kaze,Contemporary R&B,1/1/2025,,"Casket Girl, Love Like This, Hachikō",8,999
Ginkgo,Panchiko,Indie Rock,1/1/2025,,"Ginkgo, Lifestyle Trainers, Chapel of Salt",7.5,999
Forever Howlong,"Black Country, New Road",Art Rock,1/1/2025,,"Nancy Tries to Take the Night, Happy Birthday, Two Horses",7.5,999
Hers,Matt Maltese,Indie Pop / Art Pop,1/1/2025,,"Arthouse Cinema, Buses Replace Trains, Anytime, Anyplace, Anyhow",7,999
In The Blue Light,Kelela,Soul / R&B,1/1/2025,,"Waitin’ (unplugged), Bankhead (unplugged), Take Me Apart (unplugged)",7.5,999
Fairyland Codex,Tropical Fuck Storm,Art Punk,1/1/2025,,"Irukandji Syndrome, Teeth Marché, Bloodsport",7.5,999
Vice City Magic,Mustard Service,Indie Pop,1/1/2025,,"Yucky's Song, Going Nowhere, Big Time",7.5,999
Adult Romantix,Winter,Shoegaze,1/1/2025,,"Just Like A Flower, Misery, Without You",7.5,999
EUSEXUA,FKA twigs,Art Pop / Techno,1/1/2025,,"Eusexua, Perfect Stranger, Girl Feels Good",7.5,999
viagr aboys,Viagra Boys,Dance Punk,1/1/2025,,"Pyramid of Health, Man Made of Meat, The Bog Body",7.5,999
Racing Mount Pleasant,Racing Mount Pleasant,Chamber Pop / Art Rock,1/1/2025,,"Your New Place, Emily, Outlast",7,999
